id,cycle,setting2,s1,s10,s11,s19,RUL
1,92,0.8411,445.0,1.02,42.26,100.0,57
1,93,0.7009,491.19,1.08,44.58,100.0,56
1,94,0.84,445.0,1.02,42.11,100.0,55
1,95,0.8403,449.44,1.02,42.0,100.0,54
1,96,0.8402,445.0,1.02,42.2,100.0,53
1,97,0.8413,445.0,1.02,42.39,100.0,52
1,98,0.0015,518.67,1.3,47.49,100.0,51
1,99,0.2502,489.05,1.26,45.62,100.0,50
1,100,0.7,491.19,1.08,44.83,100.0,49
1,101,0.84,445.0,1.02,42.19,100.0,48
1,102,0.84,449.44,1.02,42.19,100.0,47
1,103,0.701,491.19,1.08,44.51,100.0,46
1,104,0.84,449.44,1.02,42.13,100.0,45
1,105,0.7,491.19,1.08,44.71,100.0,44
1,106,0.0019,518.67,1.3,47.65,100.0,43
1,107,0.8411,449.44,1.02,42.1,100.0,42
1,108,0.8414,445.0,1.02,42.25,100.0,41
1,109,0.8419,445.0,1.02,42.32,100.0,40
1,110,0.7019,491.19,1.07,44.57,100.0,39
1,111,0.0017,518.67,1.3,47.84,100.0,38
1,112,0.84,445.0,1.02,42.35,100.0,37
1,113,0.0,518.67,1.3,47.67,100.0,36
1,114,0.84,449.44,1.02,42.28,100.0,35
1,115,0.7013,491.19,1.07,44.62,100.0,34
1,116,0.62,462.54,0.94,36.86,84.93,33
1,117,0.6219,462.54,0.94,37.01,84.93,32
1,118,0.84,449.44,1.02,42.21,100.0,31
1,119,0.62,462.54,0.94,36.85,84.93,30
1,120,0.8409,449.44,1.02,42.44,100.0,29
1,121,0.2512,489.05,1.26,45.71,100.0,28
1,122,0.0019,518.67,1.3,47.79,100.0,27
1,123,0.7,491.19,1.08,44.92,100.0,26
1,124,0.8414,445.0,1.02,42.37,100.0,25
1,125,0.84,445.0,1.02,42.39,100.0,24
1,126,0.2516,489.05,1.26,45.76,100.0,23
1,127,0.2519,489.05,1.26,45.86,100.0,22
1,128,0.0,518.67,1.3,47.96,100.0,21
1,129,0.2506,489.05,1.26,45.81,100.0,20
1,130,0.84,445.0,1.02,42.52,100.0,19
1,131,0.62,462.54,0.94,37.17,84.93,18
1,132,0.7,491.19,1.08,44.92,100.0,17
1,133,0.8416,445.0,1.02,42.45,100.0,16
1,134,0.8403,449.44,1.02,42.5,100.0,15
1,135,0.25,489.05,1.26,45.94,100.0,14
1,136,0.7,491.19,1.07,44.74,100.0,13
1,137,0.7003,491.19,1.08,44.74,100.0,12
1,138,0.25,489.05,1.26,45.87,100.0,11
1,139,0.8408,445.0,1.02,42.66,100.0,10
1,140,0.8406,449.44,1.02,42.43,100.0,9
1,141,0.841,449.44,1.02,42.54,100.0,8
1,142,0.7,491.19,1.08,44.99,100.0,7
1,143,0.84,449.44,1.02,42.43,100.0,6
1,144,0.0018,518.67,1.3,48.09,100.0,5
1,145,0.8402,449.44,1.02,42.4,100.0,4
1,146,0.2516,489.05,1.26,46.18,100.0,3
1,147,0.62,462.54,0.94,37.41,84.93,2
1,148,0.0013,518.67,1.3,48.07,100.0,1
1,149,0.8414,445.0,1.02,42.77,100.0,0
2,1,0.0,518.67,1.3,47.36,100.0,268
2,2,0.84,449.44,1.02,42.01,100.0,267
2,3,0.0,518.67,1.3,47.39,100.0,266
2,4,0.84,445.0,1.02,41.89,100.0,265
2,5,0.002,518.67,1.3,47.4,100.0,264
2,6,0.7001,491.19,1.08,44.47,100.0,263
2,7,0.25,489.05,1.26,45.28,100.0,262
2,8,0.0,518.67,1.3,47.4,100.0,261
2,9,0.2514,489.05,1.26,45.34,100.0,260
2,10,0.62,462.54,0.94,36.71,84.93,259
2,11,0.25,489.05,1.26,45.41,100.0,258
2,12,0.8413,445.0,1.02,42.05,100.0,257
2,13,0.8415,445.0,1.02,42.09,100.0,256
2,14,0.0,518.67,1.3,47.47,100.0,255
2,15,0.8418,445.0,1.02,42.03,100.0,254
2,16,0.0,518.67,1.3,47.38,100.0,253
2,17,0.2504,489.05,1.26,45.41,100.0,252
2,18,0.84,445.0,1.02,41.86,100.0,251
2,19,0.84,449.44,1.02,41.86,100.0,250
2,20,0.84,449.44,1.02,41.9,100.0,249
2,21,0.8403,445.0,1.02,42.0,100.0,248
2,22,0.8412,445.0,1.02,42.18,100.0,247
2,23,0.84,449.44,1.02,41.89,100.0,246
2,24,0.7011,491.19,1.08,44.49,100.0,245
2,25,0.84,445.0,1.02,42.06,100.0,244
2,26,0.84,445.0,1.02,41.84,100.0,243
2,27,0.6204,462.54,0.94,36.82,84.93,242
2,28,0.84,445.0,1.02,41.95,100.0,241
2,29,0.0,518.67,1.3,47.44,100.0,240
2,30,0.84,445.0,1.02,42.23,100.0,239
2,31,0.7007,491.19,1.08,44.24,100.0,238
2,32,0.84,445.0,1.02,42.06,100.0,237
2,33,0.7,491.19,1.08,44.23,100.0,236
2,34,0.0,518.67,1.3,47.51,100.0,235
2,35,0.0011,518.67,1.3,47.56,100.0,234
2,36,0.8404,445.0,1.02,42.0,100.0,233
2,37,0.7,491.19,1.07,44.47,100.0,232
2,38,0.7,491.19,1.08,44.12,100.0,231
2,39,0.25,489.05,1.26,45.43,100.0,230
2,40,0.8413,449.44,1.02,42.07,100.0,229
2,41,0.8411,445.0,1.02,42.06,100.0,228
2,42,0.8401,445.0,1.02,41.98,100.0,227
2,43,0.84,449.44,1.02,41.94,100.0,226
2,44,0.7,491.19,1.08,44.32,100.0,225
2,45,0.7006,491.19,1.08,44.35,100.0,224
2,46,0.0,518.67,1.3,47.38,100.0,223
2,47,0.84,449.44,1.02,41.82,100.0,222
2,48,0.6208,462.54,0.94,36.68,84.93,221
2,49,0.0005,518.67,1.3,47.38,100.0,220
2,50,0.0019,518.67,1.3,47.46,100.0,219
2,51,0.0002,518.67,1.3,47.47,100.0,218
2,52,0.6203,462.54,0.94,36.66,84.93,217
2,53,0.2519,489.05,1.26,45.36,100.0,216
2,54,0.6206,462.54,0.94,36.7,84.93,215
2,55,0.7,491.19,1.08,44.07,100.0,214
2,56,0.2501,489.05,1.26,45.62,100.0,213
2,57,0.7018,491.19,1.07,44.25,100.0,212
2,58,0.8401,445.0,1.02,42.02,100.0,211
2,59,0.0009,518.67,1.3,47.27,100.0,210
2,60,0.7016,491.19,1.08,44.38,100.0,209
2,61,0.8407,445.0,1.02,42.14,100.0,208
2,62,0.84,445.0,1.02,42.01,100.0,207
2,63,0.8411,449.44,1.02,41.84,100.0,206
2,64,0.62,462.54,0.94,36.76,84.93,205
2,65,0.62,462.54,0.94,36.51,84.93,204
2,66,0.84,445.0,1.02,42.11,100.0,203
2,67,0.6219,462.54,0.94,36.61,84.93,202
2,68,0.7,491.19,1.08,44.21,100.0,201
2,69,0.62,462.54,0.94,36.84,84.93,200
2,70,0.62,462.54,0.94,36.8,84.93,199
2,71,0.8417,445.0,1.02,41.81,100.0,198
2,72,0.7,491.19,1.08,44.3,100.0,197
2,73,0.0007,518.67,1.3,47.46,100.0,196
2,74,0.7,491.19,1.08,44.17,100.0,195
2,75,0.84,449.44,1.02,41.95,100.0,194
2,76,0.7,491.19,1.08,44.41,100.0,193
2,77,0.2516,489.05,1.26,45.23,100.0,192
2,78,0.702,491.19,1.08,44.34,100.0,191
2,79,0.0017,518.67,1.3,47.42,100.0,190
2,80,0.0002,518.67,1.3,47.37,100.0,189
2,81,0.84,445.0,1.02,42.03,100.0,188
2,82,0.2508,489.05,1.26,45.52,100.0,187
2,83,0.842,449.44,1.02,42.01,100.0,186
2,84,0.62,462.54,0.94,36.83,84.93,185
2,85,0.7,491.19,1.08,44.3,100.0,184
2,86,0.0,518.67,1.3,47.36,100.0,183
2,87,0.84,445.0,1.02,42.14,100.0,182
2,88,0.62,462.54,0.94,36.75,84.93,181
2,89,0.62,462.54,0.94,36.75,84.93,180
2,90,0.8402,445.0,1.02,42.0,100.0,179
2,91,0.62,462.54,0.94,36.66,84.93,178
2,92,0.84,445.0,1.02,42.02,100.0,177
2,93,0.25,489.05,1.26,45.37,100.0,176
2,94,0.8405,445.0,1.02,42.05,100.0,175
2,95,0.2512,489.05,1.26,45.41,100.0,174
2,96,0.62,462.54,0.94,36.75,84.93,173
2,97,0.62,462.54,0.94,36.75,84.93,172
2,98,0.0,518.67,1.3,47.41,100.0,171
2,99,0.7,491.19,1.08,44.33,100.0,170
2,100,0.84,449.44,1.02,41.9,100.0,169
2,101,0.2508,489.05,1.26,45.33,100.0,168
2,102,0.001,518.67,1.3,47.67,100.0,167
2,103,0.84,445.0,1.02,41.91,100.0,166
2,104,0.0,518.67,1.3,47.4,100.0,165
2,105,0.841,449.44,1.02,41.86,100.0,164
2,106,0.7019,491.19,1.08,44.25,100.0,163
2,107,0.0018,518.67,1.3,47.44,100.0,162
2,108,0.25,489.05,1.26,45.42,100.0,161
2,109,0.8412,449.44,1.02,41.81,100.0,160
2,110,0.6204,462.54,0.94,36.84,84.93,159
2,111,0.8419,445.0,1.02,42.07,100.0,158
2,112,0.25,489.05,1.26,45.6,100.0,157
2,113,0.25,489.05,1.26,45.38,100.0,156
2,114,0.62,462.54,0.94,36.76,84.93,155
2,115,0.84,445.0,1.02,42.13,100.0,154
2,116,0.84,449.44,1.02,41.95,100.0,153
2,117,0.84,445.0,1.02,42.11,100.0,152
2,118,0.6219,462.54,0.94,36.78,84.93,151
2,119,0.62,462.54,0.94,36.92,84.93,150
2,120,0.62,462.54,0.94,36.94,84.93,149
2,121,0.62,462.54,0.94,36.86,84.93,148
2,122,0.25,489.05,1.26,45.7,100.0,147
2,123,0.8407,445.0,1.02,41.96,100.0,146
2,124,0.25,489.05,1.26,45.36,100.0,145
2,125,0.7007,491.19,1.08,44.33,100.0,144
2,126,0.62,462.54,0.94,36.84,84.93,143
2,127,0.7013,491.19,1.08,44.42,100.0,142
2,128,0.7,491.19,1.07,44.38,100.0,141
2,129,0.84,445.0,1.02,42.11,100.0,140
2,130,0.84,445.0,1.02,42.12,100.0,139
2,131,0.62,462.54,0.94,36.82,84.93,138
2,132,0.7018,491.19,1.08,44.37,100.0,137
2,133,0.84,449.44,1.02,41.89,100.0,136
2,134,0.84,445.0,1.02,42.09,100.0,135
2,135,0.7,491.19,1.07,44.44,100.0,134
2,136,0.8403,445.0,1.02,42.05,100.0,133
2,137,0.841,449.44,1.02,41.97,100.0,132
2,138,0.8407,449.44,1.02,41.87,100.0,131
2,139,0.0003,518.67,1.3,47.43,100.0,130
2,140,0.7,491.19,1.08,44.62,100.0,129
2,141,0.84,445.0,1.02,42.15,100.0,128
2,142,0.8403,449.44,1.02,42.19,100.0,127
2,143,0.7018,491.19,1.08,44.25,100.0,126
2,144,0.0019,518.67,1.3,47.7,100.0,125
2,145,0.8411,449.44,1.02,42.01,100.0,124
2,146,0.8408,449.44,1.02,41.9,100.0,123
2,147,0.8409,445.0,1.02,42.21,100.0,122
2,148,0.62,462.54,0.94,36.83,84.93,121
2,149,0.6214,462.54,0.94,36.78,84.93,120
2,150,0.8416,449.44,1.02,41.92,100.0,119
2,151,0.7007,491.19,1.07,44.41,100.0,118
2,152,0.7,491.19,1.08,44.4,100.0,117
2,153,0.8404,445.0,1.02,42.12,100.0,116
2,154,0.8419,449.44,1.02,41.92,100.0,115
2,155,0.6217,462.54,0.94,36.75,84.93,114
2,156,0.8409,445.0,1.02,42.26,100.0,113
2,157,0.8415,445.0,1.02,42.23,100.0,112
2,158,0.7,491.19,1.08,44.43,100.0,111
2,159,0.25,489.05,1.26,45.6,100.0,110
2,160,0.8401,445.0,1.02,42.2,100.0,109
2,161,0.0,518.67,1.3,47.72,100.0,108
2,162,0.7,491.19,1.08,44.54,100.0,107
2,163,0.2507,489.05,1.26,45.4,100.0,106
2,164,0.7005,491.19,1.08,44.5,100.0,105
2,165,0.0006,518.67,1.3,47.56,100.0,104
2,166,0.62,462.54,0.94,36.83,84.93,103
2,167,0.0007,518.67,1.3,47.58,100.0,102
2,168,0.842,445.0,1.02,42.33,100.0,101
2,169,0.8409,449.44,1.02,42.1,100.0,100
2,170,0.8408,445.0,1.02,42.24,100.0,99
2,171,0.7,491.19,1.08,44.49,100.0,98
2,172,0.62,462.54,0.94,36.83,84.93,97
2,173,0.7004,491.19,1.08,44.58,100.0,96
2,174,0.84,445.0,1.02,42.17,100.0,95
2,175,0.8405,445.0,1.02,42.39,100.0,94
2,176,0.8411,445.0,1.02,42.18,100.0,93
2,177,0.62,462.54,0.94,36.94,84.93,92
2,178,0.2519,489.05,1.26,45.61,100.0,91
2,179,0.8418,449.44,1.02,42.31,100.0,90
2,180,0.84,445.0,1.02,42.26,100.0,89
2,181,0.0,518.67,1.3,47.63,100.0,88
2,182,0.84,449.44,1.02,42.07,100.0,87
2,183,0.25,489.05,1.26,45.85,100.0,86
2,184,0.84,449.44,1.02,42.19,100.0,85
2,185,0.0002,518.67,1.3,47.64,100.0,84
2,186,0.84,449.44,1.02,42.1,100.0,83
2,187,0.7004,491.19,1.07,44.56,100.0,82
2,188,0.7,491.19,1.08,44.4,100.0,81
2,189,0.62,462.54,0.94,36.78,84.93,80
2,190,0.2501,489.05,1.26,45.47,100.0,79
2,191,0.8416,445.0,1.02,42.28,100.0,78
2,192,0.8408,445.0,1.02,42.36,100.0,77
2,193,0.84,445.0,1.02,42.27,100.0,76
2,194,0.25,489.05,1.26,45.78,100.0,75
2,195,0.0012,518.67,1.3,47.66,100.0,74
2,196,0.84,445.0,1.02,42.22,100.0,73
2,197,0.8408,449.44,1.02,41.97,100.0,72
2,198,0.2505,489.05,1.26,45.65,100.0,71
2,199,0.8418,445.0,1.02,42.3,100.0,70
2,200,0.0013,518.67,1.3,47.69,100.0,69
2,201,0.8401,449.44,1.02,42.16,100.0,68
2,202,0.2509,489.05,1.26,45.89,100.0,67
2,203,0.7,491.19,1.07,44.59,100.0,66
2,204,0.84,449.44,1.02,42.22,100.0,65
2,205,0.8414,445.0,1.02,42.45,100.0,64
2,206,0.7,491.19,1.07,44.67,100.0,63
2,207,0.25,489.05,1.26,45.52,100.0,62
2,208,0.84,445.0,1.02,42.54,100.0,61
2,209,0.62,462.54,0.94,36.92,84.93,60
2,210,0.25,489.05,1.26,45.6,100.0,59
2,211,0.84,449.44,1.02,42.22,100.0,58
2,212,0.84,449.44,1.02,41.88,100.0,57
2,213,0.8402,449.44,1.02,42.11,100.0,56
2,214,0.7004,491.19,1.08,44.44,100.0,55
2,215,0.0,518.67,1.3,47.82,100.0,54
2,216,0.2505,489.05,1.26,45.79,100.0,53
2,217,0.7016,491.19,1.08,44.82,100.0,52
2,218,0.84,445.0,1.02,42.45,100.0,51
2,219,0.0,518.67,1.3,47.91,100.0,50
2,220,0.62,462.54,0.94,37.05,84.93,49
2,221,0.62,462.54,0.94,36.93,84.93,48
2,222,0.84,445.0,1.02,42.48,100.0,47
2,223,0.2512,489.05,1.26,45.97,100.0,46
2,224,0.84,445.0,1.02,42.44,100.0,45
2,225,0.84,449.44,1.02,42.24,100.0,44
2,226,0.0006,518.67,1.3,47.69,100.0,43
2,227,0.25,489.05,1.26,45.81,100.0,42
2,228,0.8413,449.44,1.02,42.21,100.0,41
2,229,0.7,491.19,1.07,44.71,100.0,40
2,230,0.8402,445.0,1.02,42.56,100.0,39
2,231,0.8418,445.0,1.02,42.46,100.0,38
2,232,0.84,445.0,1.02,42.19,100.0,37
2,233,0.84,449.44,1.02,42.15,100.0,36
2,234,0.25,489.05,1.26,45.79,100.0,35
2,235,0.8419,449.44,1.02,42.29,100.0,34
2,236,0.84,449.44,1.02,42.42,100.0,33
2,237,0.84,445.0,1.02,42.51,100.0,32
2,238,0.62,462.54,0.94,36.96,84.93,31
2,239,0.8408,445.0,1.02,42.47,100.0,30
2,240,0.8409,445.0,1.02,42.53,100.0,29
2,241,0.7003,491.19,1.07,44.86,100.0,28
2,242,0.84,445.0,1.02,42.53,100.0,27
2,243,0.6207,462.54,0.94,37.0,84.93,26
2,244,0.84,445.0,1.02,42.49,100.0,25
2,245,0.7,491.19,1.07,44.79,100.0,24
2,246,0.8403,449.44,1.02,42.37,100.0,23
2,247,0.0002,518.67,1.3,48.04,100.0,22
2,248,0.62,462.54,0.94,37.06,84.93,21
2,249,0.251,489.05,1.26,46.16,100.0,20
2,250,0.84,445.0,1.02,42.48,100.0,19
2,251,0.8418,449.44,1.02,42.17,100.0,18
2,252,0.7,491.19,1.07,44.8,100.0,17
2,253,0.621,462.54,0.94,36.98,84.93,16
2,254,0.8413,449.44,1.02,42.5,100.0,15
2,255,0.6213,462.54,0.94,37.19,84.93,14
2,256,0.7005,491.19,1.07,45.0,100.0,13
2,257,0.25,489.05,1.26,46.0,100.0,12
2,258,0.25,489.05,1.26,46.04,100.0,11
2,259,0.84,445.0,1.02,42.64,100.0,10
2,260,0.0008,518.67,1.3,47.84,100.0,9
2,261,0.25,489.05,1.26,45.97,100.0,8
2,262,0.0006,518.67,1.3,47.94,100.0,7
2,263,0.84,445.0,1.02,42.73,100.0,6
2,264,0.62,462.54,0.94,37.14,84.93,5
2,265,0.2514,489.05,1.26,46.04,100.0,4
2,266,0.0,518.67,1.3,48.2,100.0,3
2,267,0.62,462.54,0.94,37.22,84.93,2
2,268,0.6201,462.54,0.94,37.22,84.93,1
2,269,0.8411,445.0,1.02,42.64,100.0,0
3,1,0.62,462.54,0.94,36.54,84.93,205
3,2,0.6203,462.54,0.94,36.83,84.93,204
3,3,0.7,491.19,1.08,44.39,100.0,203
3,4,0.25,489.05,1.26,45.23,100.0,202
3,5,0.6205,462.54,0.94,36.53,84.93,201
3,6,0.0,518.67,1.3,47.08,100.0,200
3,7,0.7,491.19,1.08,44.21,100.0,199
3,8,0.6207,462.54,0.94,36.63,84.93,198
3,9,0.25,489.05,1.26,45.3,100.0,197
3,10,0.84,445.0,1.02,41.95,100.0,196
3,11,0.7,491.19,1.08,44.56,100.0,195
3,12,0.0012,518.67,1.3,47.25,100.0,194
3,13,0.7018,491.19,1.08,44.15,100.0,193
3,14,0.8411,445.0,1.02,41.96,100.0,192
3,15,0.84,445.0,1.02,41.93,100.0,191
3,16,0.8404,445.0,1.02,41.93,100.0,190
3,17,0.7007,491.19,1.07,44.13,100.0,189
3,18,0.6208,462.54,0.94,36.78,84.93,188
3,19,0.8408,449.44,1.02,41.74,100.0,187
3,20,0.7,491.19,1.08,44.24,100.0,186
3,21,0.6209,462.54,0.94,36.53,84.93,185
3,22,0.84,445.0,1.02,42.09,100.0,184
3,23,0.8412,445.0,1.02,41.85,100.0,183
3,24,0.25,489.05,1.26,45.27,100.0,182
3,25,0.84,449.44,1.02,41.97,100.0,181
3,26,0.25,489.05,1.26,45.24,100.0,180
3,27,0.62,462.54,0.94,36.77,84.93,179
3,28,0.2511,489.05,1.26,44.97,100.0,178
3,29,0.8417,445.0,1.02,41.84,100.0,177
3,30,0.2511,489.05,1.26,45.42,100.0,176
3,31,0.25,489.05,1.26,45.14,100.0,175
3,32,0.8411,449.44,1.02,41.7,100.0,174
3,33,0.62,462.54,0.94,36.33,84.93,173
3,34,0.8408,445.0,1.02,41.8,100.0,172
3,35,0.702,491.19,1.08,44.12,100.0,171
3,36,0.2508,489.05,1.26,45.29,100.0,170
3,37,0.84,445.0,1.02,41.96,100.0,169
3,38,0.62,462.54,0.94,36.59,84.93,168
3,39,0.25,489.05,1.26,45.4,100.0,167
3,40,0.84,445.0,1.02,42.0,100.0,166
3,41,0.6212,462.54,0.94,36.62,84.93,165
3,42,0.8416,449.44,1.02,41.82,100.0,164
3,43,0.8406,449.44,1.02,41.87,100.0,163
3,44,0.2512,489.05,1.26,45.2,100.0,162
3,45,0.25,489.05,1.26,45.32,100.0,161
3,46,0.8405,445.0,1.02,41.9,100.0,160
3,47,0.8412,449.44,1.02,41.8,100.0,159
3,48,0.0,518.67,1.3,47.33,100.0,158
3,49,0.7012,491.19,1.08,44.25,100.0,157
3,50,0.2519,489.05,1.26,45.32,100.0,156
3,51,0.8419,445.0,1.02,41.81,100.0,155
3,52,0.8413,449.44,1.02,41.61,100.0,154
3,53,0.25,489.05,1.26,45.19,100.0,153
3,54,0.8418,449.44,1.02,41.81,100.0,152
3,55,0.84,445.0,1.02,41.75,100.0,151
3,56,0.25,489.05,1.26,45.19,100.0,150
3,57,0.842,449.44,1.02,41.73,100.0,149
3,58,0.7,491.19,1.08,44.15,100.0,148
3,59,0.84,445.0,1.02,42.09,100.0,147
3,60,0.2516,489.05,1.26,45.11,100.0,146
3,61,0.7,491.19,1.08,44.34,100.0,145
3,62,0.8408,445.0,1.02,41.96,100.0,144
3,63,0.84,449.44,1.02,41.73,100.0,143
3,64,0.0,518.67,1.3,47.18,100.0,142
3,65,0.8402,445.0,1.02,41.84,100.0,141
3,66,0.0011,518.67,1.3,47.28,100.0,140
3,67,0.84,449.44,1.02,41.8,100.0,139
3,68,0.84,445.0,1.02,41.93,100.0,138
3,69,0.7,491.19,1.08,44.3,100.0,137
3,70,0.6219,462.54,0.94,36.75,84.93,136
3,71,0.84,445.0,1.02,41.91,100.0,135
3,72,0.8401,449.44,1.02,41.86,100.0,134
3,73,0.2511,489.05,1.26,45.28,100.0,133
3,74,0.8409,445.0,1.02,42.18,100.0,132
3,75,0.84,445.0,1.02,41.93,100.0,131
3,76,0.2505,489.05,1.26,45.25,100.0,130
3,77,0.0015,518.67,1.3,47.17,100.0,129
3,78,0.7006,491.19,1.08,44.17,100.0,128
3,79,0.8404,445.0,1.02,41.95,100.0,127
3,80,0.84,445.0,1.02,41.89,100.0,126
3,81,0.8412,449.44,1.02,41.85,100.0,125
3,82,0.8414,445.0,1.02,41.89,100.0,124
3,83,0.8418,445.0,1.02,41.98,100.0,123
3,84,0.0002,518.67,1.3,47.45,100.0,122
3,85,0.8408,449.44,1.02,41.83,100.0,121
3,86,0.84,445.0,1.02,41.99,100.0,120
3,87,0.84,449.44,1.02,41.7,100.0,119
3,88,0.7,491.19,1.08,44.23,100.0,118
3,89,0.8406,449.44,1.02,41.83,100.0,117
3,90,0.841,445.0,1.02,42.02,100.0,116
3,91,0.7019,491.19,1.08,44.34,100.0,115
3,92,0.84,445.0,1.02,42.0,100.0,114
3,93,0.0009,518.67,1.3,47.43,100.0,113
3,94,0.7019,491.19,1.08,44.31,100.0,112
3,95,0.84,445.0,1.02,42.04,100.0,111
3,96,0.7,491.19,1.08,44.23,100.0,110
3,97,0.25,489.05,1.26,45.18,100.0,109
3,98,0.25,489.05,1.26,45.24,100.0,108
3,99,0.2513,489.05,1.26,45.09,100.0,107
3,100,0.8412,445.0,1.02,42.13,100.0,106
3,101,0.25,489.05,1.26,45.27,100.0,105
3,102,0.25,489.05,1.26,45.3,100.0,104
3,103,0.62,462.54,0.94,36.81,84.93,103
3,104,0.84,449.44,1.02,41.87,100.0,102
3,105,0.842,445.0,1.02,42.04,100.0,101
3,106,0.8418,449.44,1.02,41.69,100.0,100
3,107,0.84,445.0,1.02,41.92,100.0,99
3,108,0.84,445.0,1.02,42.09,100.0,98
3,109,0.0,518.67,1.3,47.34,100.0,97
